Fold Name,CAGR,Sharpe Ratio,Profit Factor,Max Drawdown,Trade Count,Win Rate,Expectancy (USD),Avg Holding Period,Portfolio Turnover,Fee %,Net return %
Selection,7.5830965572816655,0.7459718859184886,3.038142298476982,6.24806006416311,16,18.75,-1.602928568656534,40.0,3.7355897239004707,2.60877215629722,11.844907659058856
Holdout_1,47.7823603357562,1.9268774536232167,30.2414731962436,7.936880235202749,54,96.29629629629629,6.731931687978817,83.55555555555556,4.672433465982613,1.0484249196960427,47.624309500080635
Holdout_2,10.835620833443382,1.1562970842696199,999.0,7.512079496763597,1,100.0,4.8833007812500115,188.0,1.0097777667665724,1.8173076923076883,4.878666048503934
