Run Source,Experiment ID,Timeframe,Swing Window,Contraction Waves,Trade Count,Win Rate,Profit Factor,Expectancy (USD),CAGR,Sharpe Ratio,Max Drawdown,Quality Score,Verdict,PF_clean,Neg_Drawdown,Pareto Optimal
V1,C002-E00001,4H,3,2,213,59.624413145539904,0.8848868853913593,0.3566321985460383,-5.699747992204762,-0.1439488936282038,35.745278060891344,0.3115107643401402,,0.8848868853913593,-35.745278060891344,False
V1,C002-E00002,4H,3,2,209,60.28708133971292,0.9864134844259274,0.4177451672775292,-0.6217179548480889,0.0747492444728543,35.27457705490881,0.7457915805861206,,0.9864134844259274,-35.27457705490881,False
V1,C002-E00003,4H,3,2,230,58.69565217391305,0.902023784651157,0.3719926729379791,-4.772293651263249,-0.1036543253744427,35.50925969374104,0.3914496996520825,,0.902023784651157,-35.50925969374104,False
V1,C002-E00004,4H,3,2,375,48.53333333333333,0.6535088085765505,0.1256421305508313,-19.548490778135697,-0.7186396462104087,58.43360541858063,-1.0087867149248688,,0.6535088085765505,-58.43360541858063,False
V1,C002-E00005,4H,3,2,398,50.0,0.6471763161649042,0.2527723219179621,-19.749055515639117,-0.7223231413692394,58.67937306850875,-1.0231021265740425,,0.6471763161649042,-58.67937306850875,False
V1,C002-E00006,4H,3,2,399,50.125313283208015,0.6496187647785658,0.2729898932415107,-19.541479267176896,-0.7168581303171281,58.09228733115258,-1.0065913040086523,,0.6496187647785658,-58.09228733115258,False
V1,C002-E00007,4H,3,2,451,52.54988913525499,0.722826847964248,0.5137633356042238,-15.056839132642695,-0.4402345519160296,53.488359470582814,-0.4724085746156246,,0.722826847964248,-53.488359470582814,False
V1,C002-E00008,4H,3,2,453,52.31788079470199,0.7322223441105018,0.5062674194634668,-14.911204354817263,-0.4227520917702504,54.53870924946664,-0.4472928860395402,,0.7322223441105018,-54.53870924946664,False
V1,C002-E00009,4H,3,2,549,54.09836065573771,0.5453000098856098,1.232530925845891,-26.611247961602118,-0.7672888631071367,62.868233372429486,-1.2343156184993902,,0.5453000098856098,-62.868233372429486,False
V1,C002-E00010,4H,3,2,453,52.31788079470199,0.7361745002296018,0.5151233258557588,-14.636955249284522,-0.4141028062423564,53.80500223006629,-0.42302973143459566,,0.7361745002296018,-53.80500223006629,False
